MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1919321	2010315B03Rik	RIKEN cDNA 2010315B03 gene	9		DNA-binding transcription factor activity			IBA	MGI:1920441 MGI:2682609 P07247 P56270 PTN002811104 Q66K89 Q9BU19 S000005639 	J:161428 	
MGI:1919378	2610008E11Rik	RIKEN cDNA 2610008E11 gene	10		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	MGI:104786 PTN002810224 RGD:708346 	J:161428 	
MGI:1922662	2610021A01Rik	RIKEN cDNA 2610021A01 gene	7		DNA-binding transcription activator activity, RNA polymerase II-specific			IBA	MGI:1916160 PTN002393781 	J:161428 	
MGI:1917194	2810021J22Rik	RIKEN cDNA 2810021J22 gene	11		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	MGI:104786 PTN002810224 RGD:708346 	J:161428 	
MGI:1925270	4930522L14Rik	RIKEN cDNA 4930522L14 gene	5		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	P35789 P52738 PTN001225435 Q86Y25 Q96RE9 Q9Y473 	J:161428 	
MGI:1917882	5730507C01Rik	RIKEN cDNA 5730507C01 gene	12		DNA-binding transcription repressor activity, RNA polymerase II-specific			IBA	MGI:107187 MGI:1195345 MGI:1278332 MGI:1929213 P41182 PTN002393396 Q8N680 Q9Y2Y4 	J:161428 	
MGI:3583896	A430033K04Rik	RIKEN cDNA A430033K04 gene	5		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	MGI:104786 PTN002810224 RGD:708346 	J:161428 	
MGI:2443131	A630001G21Rik	RIKEN cDNA A630001G21 gene	1		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	P23497 PTN002923949 	J:161428 	
MGI:1914344	Abhd2	abhydrolase domain containing 2	7		nuclear steroid receptor activity			ISO	P08910 	J:164563 	
MGI:1914344	Abhd2	abhydrolase domain containing 2	7		nuclear steroid receptor activity			ISS	P08910 	J:342587 	
MGI:1338758	Adnp	activity-dependent neuroprotective protein	2		DNA-binding transcription factor activity, RNA polymerase II-specific			IDA		J:119141 	
MGI:1197012	Aebp1	AE binding protein 1	11		DNA-binding transcription repressor activity, RNA polymerase II-specific			IBA	PTN002609584 Q8IUX7 	J:161428 	
MGI:1197012	Aebp1	AE binding protein 1	11		DNA-binding transcription repressor activity, RNA polymerase II-specific			ISO	Q8IUX7 	J:164563 	
MGI:1100819	Aff1	AF4/FMR2 family, member 1	5		DNA-binding transcription factor activity			TAS		J:76005 	
