Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"1"	"GLMP"	"6.0"	"ARCHS4 Coexpression,9;GTEx Coexpression,3"	"SLC35B2,KDELR1,PLOD3,TXNDC12,PLOD1,PSMD8,PSMD9,C1GALT1C1,PSMD5,ARHGDIA,TRIM21,ALG3,ALG12,ALG1,PDIA5,RUFY1,RAB32,TMX1,RAB34,PSME1,ERP29,KDELR2,KDELR3,PPIB,VPS25,COPB2,RAB5C,RPN2,COPB1,PRDX4,NEU1,CHST14,ATG7,CTSA,OST4,TOR1A,FUCA1,EDEM2,FUCA2,SURF4,ARPC4,ARPC5,ARPC3,OSTC,MAN2B1,COPE,TRAM1,PIGT,HEXB,ARPC1B,HEXA,CLTA,TRAM2,TRIM5,TMED3,EVI5L,COLGALT1,RAB8A,VKORC1,HS3ST3B1,MANBA,SEC13,TMED9,CHPF2,SSR2,AP3B1,RAB3IL1,CKAP4,DDOST,PIGB,TBC1D2,RER1,DAD1,RFT1,FAM20C,VAMP5,VAMP3,HM13,PSMA7,GANAB,PSMB5,OS9,PSMB3,LMAN2,PSMB1,MGAT1,MGAT2,SEC11A,SLC35A2,BCAP31,ADRM1,FKBP1A,ERP44,GLB1,RAB13,RAB9A,BAX,P4HB"
"gene_set_query"	"2"	"ZNF888"	"19.0"	"GTEx Coexpression,19"	"SLC35B3,SLC35B2,COPB2,TRAM1,PIGO,PIGN,COPB1,FAF2,UBE2Z,SEC61A1,AP3M1,GANAB,OS9,SRP72,PSMD5,SSR1,TMED2,MGAT2,UGGT1,EIF2A,GALNT7,TMED9,SEC24A,GALNT4,EDEM1,ALG2,MOGS,KIF23,AP3B1,ALG1,ALG11,ALG10,PDIA6,DDOST,ARCN1,ERP44,SEC23IP,TMX1,GLB1,RFT1,STT3A,ERP29,POMK,PIGM,P4HB,COPG1,ALG10B"
"gene_set_query"	"3"	"XBP1"	"23.0"	"ARCHS4 Coexpression,7;Enrichr Queries,15;ReMap ChIP-seq,68;GTEx Coexpression,2"	"DPAGT1,ERO1A,ERO1B,GALNT11,RASEF,AUP1,PLOD1,PSMD9,RAB44,PSMD6,RAB42,CAPN9,POFUT1,ARHGDIA,TBC1D30,ARFIP2,AKT1,TBC1D22B,SEC63,PDIA3,PDIA2,ALG5,COG3,ALG2,MOGS,CNPY3,PDIA6,PDIA4,TPST2,ERN1,RUFY1,DPM1,TMX1,DDIT3,DNAJB11,ERP29,FKBP8,ERP27,KDELR2,PREB,PPIB,FKBP4,TP53,PPIA,GPLD1,PPIC,FKBP5,ATF4,COPB2,TMED10,RPN2,UBA5,SEL1L,RPN1,UBR2,FUT2,HSP90B1,PRDX4,HSPH1,RAB11FIP1,BAG2,BAG3,SSR1,ST3GAL5,AP1M2,TXNDC5,EDEM3,CTSA,HSPA9,HSPA8,RAB4B,SDF2L1,HSPA5,SEC16A,SIAH2,SURF4,SLC33A1,EDEM2,FUCA2,EIF2AK3,TRAPPC9,NET1,COPS3,COPS6,RNF103,TRPV6,STT3A,SRPRA,CHMP2A,SRPRB,PSMG4,MAN2B1,CALR,COPE,UBE2M,FKBP11,FKBP10,ARF4,ARF1,TRAM1,PIGT,HSP90AB1,UBXN1,PRKCSH,ARPC1B,CLTC,SRP54,HSPB1,RAB22A,HERPUD1,SEC61A1,SERP1,TMED3,RACK1,TMED2,TMED1,SEC61B,UBXN4,TMED6,COLGALT1,TMED9,HSP90AA1,SEC13,SSR4,SSR2,NCOA3,VPS37C,TBC1D9,RAD23A,ARFGAP3,DDOST,COPZ1,BET1L,DNAJC3,DNAJC1,DNAJC5,CANX,B3GNT3,PLIN3,PIGM,TMBIM6,CHST4,VAMP2,EXOC2,OTUB1,B4GALT5,HM13,DERL3,RAB1B,DERL1,DERL2,RRBP1,STX10,PSMB6,LMAN1,DNAJB1,OS9,DNAJB6,RAB25,LMAN2,RAB23,AGR2,DNAJB9,AGR3,MGAT1,BAK1,SEC23B,SEC11C,GALNT7,GALNT6,PTPN1,ARFGEF2,PPIL1,GALNT3,B3GAT2,SYVN1,ARCN1,RAB11B,DNAJA1,ERP44,SPCS3,SPCS1,PSMC6,SGSM3,JKAMP,RAB19,BAX,P4HB,COPG1,SEC24D"
"gene_set_query"	"4"	"PREB"	"28.0"	"ARCHS4 Coexpression,2;Enrichr Queries,1;GTEx Coexpression,81"	"SLC35B2,UBE2D4,SLC35B1,ARAF,AUP1,PSMD8,PSMD4,PSMD2,ARHGDIA,PSMD3,PDIA3,ALG3,MOGS,PDIA6,PDIA4,OXA1L,RNF126,TMX2,PSME3,DNAJB11,RAB35,PPIF,KDELR2,PPIB,PPID,ATF4,COPB2,VCP,RAB5C,RPN2,SAR1B,PSMD13,RPN1,UBE2J2,HSPBP1,HSP90B1,BAG6,HSPH1,PRDX4,SERPINH1,ST3GAL4,MLEC,HSPA9,TRAP1,HSPA8,XBP1,SDF2L1,HSPA5,SURF4,NPLOC4,STT3A,SRPRA,SRPRB,HYOU1,UBA1,CALR,COPE,UBE2M,RYR1,ARF4,ARF1,PIGU,HSP90AB1,PRKCSH,GPAA1,ARPC1B,ATP2A2,HSPB1,HERPUD1,SEC61A1,TMED2,TMED1,TMED5,GET4,CCT3,HSP90AA1,SEC13,TMED9,SSR4,NCOA3,SSR2,SSR3,RAD23A,DDOST,PSMA5,PSMA3,RER1,DAD1,TCP1,PLIN3,CHMP6,B4GALT7,ARF5,HM13,RAB1B,USO1,DERL1,RRBP1,PSMA7,PSMB6,PSMB4,GANAB,PSMB5,PSMB3,LMAN2,DNAJB9,CCT7,YKT6,CCT5,CCT4,SEC11C,BCAP31,SLC35A4,ADRM1,SGTA,SYVN1,PSMC3,PSMC4,BAX,STUB1,P4HB"
"gene_set_query"	"5"	"CREB3L2"	"31.33"	"ARCHS4 Coexpression,3;Enrichr Queries,62;GTEx Coexpression,29"	"RAB3B,ERO1B,CHPF,KDELR1,PLOD3,PLOD2,GXYLT2,PLOD1,TXNDC15,GALNT10,IGF1R,NDST1,POFUT2,POFUT1,CAPN2,SEC63,PDIA3,PDIA4,RAB31,RAB34,FKBP7,KDELR2,FKBP9,PPIB,PPIC,FKBP5,COPA,TMED10,COPB1,GLT8D1,ITPR1,UBR4,GLT8D2,NEDD4L,FOXO1,HSP90B1,ABL1,SERPINH1,MLEC,CHST14,ST3GAL1,SEC31A,RAB11FIP5,HSPA5,WFS1,SEC16A,SURF4,MICAL2,EXT1,EXT2,DNAJC10,STT3A,SRPRA,HYOU1,CALR,ARF4,FKBP10,PIGU,MCFD2,B4GALT1,FKBP14,PRKCSH,HEXB,HEXA,HSPB1,PKD2,TRAM2,HERPUD1,SEC61A1,MAN1A1,TMED7,TMED4,CHPF2,NCOA3,CKAP4,B3GNT9,DNAJC7,B3GNT4,CANX,ASAP1,RRBP1,LMAN1,GANAB,MGAT5,UGGT2,SEC11A,UGGT1,ARFGEF2,SEC24A,GALNT2,GBF1,ARCN1,AXL,P4HB,COPG1,SEC24D,PPIL4"
"gene_set_query"	"6"	"BHLHA15"	"33.5"	"ARCHS4 Coexpression,55;GTEx Coexpression,12"	"FKBP11,ERO1B,PRKCSH,RASEF,HERPUD1,LFNG,SEC61A1,PSMD6,SERP1,MAN1A2,TBC1D30,PSMD3,TMED2,SEC61B,TMED6,APPL1,SEC63,PDIA2,TMED9,SSR4,SSR2,ALG5,SSR3,ALG2,MOGS,ARFGAP3,RAD23B,PDIA6,COPZ1,BET1L,PDIA4,TPST2,ERN1,DNAJC3,DNAJC1,RAB35,ERP27,ARHGEF2,CHST4,PPIB,ST6GALNAC6,HM13,UBA5,DERL3,RAB1B,SEL1L,RPN1,DERL2,RRBP1,UBE2J1,ART1,BAG6,GGA1,GANAB,PRDX4,VPS51,DNAJB9,TXNDC5,EDEM3,TRAP1,XBP1,SEC16A,SLC33A1,SURF4,EIF2AK3,SYVN1,AP3D1,SPCS3,TRPV6,MGAT4A,SRPRA,SRPRB,HYOU1,P4HB,CALR,COPG1"
"gene_set_query"	"7"	"ZNF852"	"72.0"	"ARCHS4 Coexpression,22;GTEx Coexpression,122"	"ARF3,B4GALT2,FKBP10,CHPF,PRKCSH,SNAP23,NGLY1,CLTB,PLOD1,NDST1,CAPNS1,TRIM5,ARHGDIA,CAPN2,UBXN7,AKT1,AP1S1,EVI5L,CAPN1,RAB8A,EIF2A,NCOA3,ALG12,MOGS,ALG11,ALG10,RAD23B,SRP9,ARFGAP1,PSMA3,PSMA4,TMX1,PSMA2,DNAJC5,RFT1,RAB35,CHMP4B,ATF6,ALG10B,TBC1D9B,RAB5C,COPB1,RAB1B,UBR2,UBE2J1,PSMB6,BAG6,DNAJB2,AP3M1,PSMB5,SRP72,UBR5,PSMB1,SERPINH1,MGAT2,YKT6,RAB11FIP5,SEC24A,EDEM1,AP3D1,RAB11B,ERP44,SEC23IP,SGSM2,MGAT4B,POMK,UBE2M"
"gene_set_query"	"8"	"FOXD1"	"74.0"	"ARCHS4 Coexpression,17;GTEx Coexpression,131"	"B4GALT2,FKBP10,SLC35B2,TRAM1,CHPF,FKBP14,PRKCSH,IRS1,FAF2,GXYLT1,PLOD3,PLOD2,PLOD1,TRAM2,GALNT10,NDST1,SEC61A1,POFUT2,CAPNS1,POFUT1,PSMD2,ARHGDIA,CAPN2,AP1S1,QSOX1,CHPF2,SSR3,KIF23,RAD23B,CKAP4,TMX3,PLIN3,KDELR2,KDELR3,KIF20A,CHST3,HS3ST3A1,RRBP1,CYTH3,GANAB,MICALL1,SERPINH1,ABL1,HAS2,ABL2,MGAT2,YKT6,FKTN,RAB11FIP5,GALNT5,GALNT2,MICAL2,EIF2AK4,EXT1,EXT2,AXL,MGAT4B,P4HB,UBE2M"
"gene_set_query"	"9"	"ZBTB42"	"79.5"	"ARCHS4 Coexpression,146;GTEx Coexpression,13"	"ARF3,ERO1B,PRKCSH,IRS1,SLC35B1,RASEF,CLTC,ARAF,HSPB1,UBE2Z,HERPUD1,SEC61A1,PSMD6,GOLGA4,CAPNS1,TMED2,AKT1,TRIM25,AP1S1,TMED1,CAPN1,TMED6,TMED9,NCOA3,ALG5,ALG2,VPS37C,ALG3,TBC1D9,MOGS,ALG12,ARFGAP3,RAD23B,COPZ1,TPST2,OXA1L,DNAJC1,SELENOS,RAB35,CHMP4B,PREB,ULK1,FKBP4,VCP,TBC1D9B,RAB5C,HM13,RAB1B,SEL1L,USO1,FURIN,RRBP1,AP3M2,BAG6,GANAB,PRDX4,VPS51,RAB25,RAB28,AP1M2,B3GALNT2,EDEM3,SLC35A2,GALNT6,XBP1,SLC35A4,PPIL2,SEC16A,EIF2AK3,SYVN1,SRP68,NPLOC4,TRPV6,MGAT4B,SRPRA,SRPRB,P4HB"
"gene_set_query"	"10"	"HIF1A"	"86.4"	"Literature ChIP-seq,130;ARCHS4 Coexpression,52;Enrichr Queries,91;ReMap ChIP-seq,154;GTEx Coexpression,5"	"USP6NL,SLC35B2,EXOC3L1,SYS1,EXOC3L4,RASEF,PLOD2,PLOD1,UBE2Z,GALNT10,IGF1R,NDST1,PSMD9,C1GALT1C1,PSMD6,PSMD5,ARHGDIA,RNF19A,CAPN2,TBC1D10C,AKT1,AP1S1,TBC1D22A,ALG5,CSGALNACT2,DNAJB12,UBE2E1,ALG3,CSNK1D,PDIA6,ACAP3,DPM2,DPM3,RNF126,TMX3,RAB31,TMX1,MFNG,RAB34,KDELR2,KDELR3,KIF20A,FKBP9,PPIB,TP53,TRIM11,ATF4,FKBP5,COPB2,COPA,FKBP2,HS3ST3A1,SAR1A,UBA6,COPB1,FUT11,AGAP2,NEDD4L,FOXO1,HSP90B1,UGCG,RAB11FIP1,FUT7,HSPH1,MAN2A1,UBR5,SERPINH1,ST3GAL4,ABL2,ST8SIA6,TBC1D17,RAB6A,ST3GAL1,HSPA8,TOR1A,HSPA5,TNK2,SIAH2,FUCA2,SURF4,MICAL2,EIF2AK4,TRAPPC9,EXT1,EXT2,B4GAT1,OSTC,TRPV4,STT3A,PSMG3,BCL2,CALM1,ARF4,FKBP10,DOCK5,TRAM1,MCFD2,HSP90AB1,B4GALT1,FKBP14,PRKCSH,PIGQ,FAF2,CLTC,HSPB1,TRAM2,PIGX,LFNG,SEC61A1,AKAP10,SEC61G,UBXN7,QSOX1,XXYLT1,TMED7,GALNT9,ACTR3,HS3ST3B1,VKORC1,PSD,ACTR2,HSP90AA1,CHPF2,NCOA3,SSR3,VPS37C,KIF23,AP3B1,VPS37B,RAD23B,CKAP4,ARFGAP1,CANX,EXOC3,MAN1B1,ST6GALNAC4,VAMP2,EXOC2,ST6GALNAC6,CHST3,RAB1A,SEC23A,STX16,HM13,GCNT1,ASAP1,STX10,DNAJB2,DNAJB1,LMAN1,GANAB,RAB20,RAB40C,CHSY1,DNAJB6,RAB23,MGAT5,STX6,MICALL2,HAS2,MGAT2,UGGT1,GALNT5,CSNK1A1,GALNT2,RAB11B,ARCN1,DNAJA1,SEC23IP,GLB1,RAB13,BAX,P4HB,SEC24D,HSPA1A"
