© 2000-2024 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
TRAPPC1	other	3.35E-100	ATF4,ATXN3,BAG1,BAX,BCAP31,BCL2,CALR,CAPN2,CKAP4,CUL1,DDIT3,DDOST,DNAJA1,DNAJA2,DNAJB12,DNAJB2,DNAJC3,EDEM1,EDEM2,EIF2AK2,EIF2S1,ERP29,FBXO2,FBXO6,HERPUD1,HSP90AA1,HSP90AB1,HSP90B1,HSPA1A/HSPA1B,HSPA2,HSPA5,HSPBP1,HYOU1,LMAN1,LMAN2,MAN1A2,MAN1B1,MAN1C1,MAP3K5,MAPK9,MBTPS2,NSFL1C,OS9,P4HB,PDIA3,PDIA4,PDIA6,PREB,RAD23A,RAD23B,RNF185,RPN2,SAR1B,SEC23B,SEC24D,SEC31B,SEC61A1,SEC61A2,SEC61B,SEC61G,SEL1L,SSR2,SSR3,SSR4,STT3A,STT3B,STUB1,SVIP,SYVN1,UBE2D3,UBE2G1,UBE2G2,UBE2J2,UBQLN2,UBQLN3,UBXN1,UBXN2A,UGGT1,VCP,XBP1,YOD1	251 (8)
XBP1	transcription regulator	5.99E-98	ALG12,ALG2,ARCN1,ARFGAP1,ARFGAP3,ATF4,ATF6,ATF6B,ATG5,ATP2A2,BCL2,BECN1,BET1,BET1L,CALR,COG3,COG6,COPB1,COPB2,COPE,COPG1,COPZ1,DAD1,DDIT3,DDOST,DERL1,DNAJB11,DNAJB2,DNAJB9,DNAJC1,DNAJC10,DNAJC3,DOLPP1,EDEM1,EDEM2,EIF2AK3,ERLEC1,ERO1B,ERP29,ERP44,EXTL1,EXTL2,EXTL3,FKBP10,FKBP11,FKBP14,FKBP1B,FKBP2,FKBP7,GGCX,GOLGA4,GOSR2,HERPUD1,HM13,HSP90B1,HSPA13,HSPA5,HYOU1,KDELR2,KDELR3,LMAN1,LMAN2,MAN1A1,MCFD2,MGAT2,MOGS,NCOA3,OSTC,P4HB,PDIA2,PDIA3,PDIA4,PDIA5,PDIA6,PIGA,PPIB,PREB,RAB33B,RAB3A,RPN1,RPN2,SDF2L1,SEC11A,SEC11C,SEC16A,SEC22B,SEC23A,SEC23B,SEC24C,SEC24D,SEC31A,SEC61A1,SEC61B,SEC61G,SEC63,SERP1,SLC35A3,SPCS2,SPCS3,SRP19,SRP54,SRP68,SRP9,SRPRA,SRPRB,SSR1,SSR2,SSR3,SSR4,ST8SIA2,STT3A,STUB1,STX18,STX5,SURF4,SYVN1,TRAM1,TXNDC5,UBA5,UFM1,USO1,VAMP2,VAMP4,VAMP7,WFS1,XBP1	217 (7)
tunicamycin	chemical - endogenous non-mammalian	1.89E-47	AKT1,ARF4,ARFGAP1,ARFGAP3,ARHGEF2,ATF4,ATF6,ATP2A2,AXL,BAX,BCL2,BET1L,CALR,CANX,CASP12,COG8,DDIT3,DERL1,DERL3,DGAT1,DGAT2,DNAJB11,DNAJB9,DNAJC3,EDEM1,EDEM2,EIF2A,EIF2AK3,EIF2S1,ERLEC1,ERN1,ERO1A,ERO1B,FKBP11,GOLGA4,GOSR2,HERPUD1,HSP90B1,HSPA5,HSPA9,ITPR1,ITPR3,KDELR2,LMAN1,LMAN2,NAPA,NAPB,NCOA3,NEDD4L,P4HB,PDIA2,PDIA3,PDIA6,PIGA,PLIN2,RAB33B,RAB6A,RYR1,SDF2L1,SEC11A,SEC22B,SEC24D,SEC61A1,SEC61G,SEL1L,SLC35B1,SPCS2,SRP19,SRP68,SRPRA,SSR3,STX18,STX5,SURF4,SYS1,SYVN1,TMED3,TMED9,TNFRSF10B,TP53,UBA5,UBXN4,UFM1,USO1,WFS1,XBP1	231 (9)
5-methyltetrahydrofolic acid	chemical - endogenous mammalian	4.22E-37	CLTC,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,PSMD9,PSME2,PSME3,PSME4,SEM1	 
1,2-dithiole-3-thione	chemical reagent	5.99E-36	ARF1,B4GALNT1,CCT3,CCT7,COPS5,CUL1,DAD1,DNAJB11,DNAJB9,DNAJC3,EIF2S1,ERP29,FKBP11,FKBP5,FMO1,HM13,HSP90AA1,HSP90AB1,HSP90B1,MCFD2,NAT8B,NBR1,PDIA3,PDIA4,PDIA6,PPIB,PSMA1,PSMA2,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC2,PSMC3,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD3,PSMD4,PSMD5,PSMD7,PSMD8,RACK1,SEC23A,SEC61A1,SLC35B1,TMED2,UBE2K,UBQLN2,USO1,USP14,VCP,XBP1	102 (3)
EIF2AK3	kinase	1.05E-31	ARF4,ARFGAP1,ARFGAP3,ATF4,ATF6,ATG5,ATP2A2,BCL2L11,BECN1,BET1L,CANX,CAPN1,COG8,DDIT3,DERL1,DERL3,DNAJB9,DNAJC3,EDEM1,EIF2AK3,ERN1,ERO1A,ERO1B,FBXO8,GOLGA4,GOSR2,HERPUD1,HSPA5,HSPA9,KDELR2,NAPA,NAPB,PDIA3,PRKN,RAB33B,RAB6A,SEC22B,SEC24D,SEC61A1,SEL1L,SIAH2,SLC35B1,STX18,STX5,SYS1,SYVN1,TMED9,TP53,USO1,WFS1,XBP1	223 (8)
ERN1	kinase	4.39E-31	AP1M2,ARF4,ATF4,ATP2A2,BECN1,DDIT3,DERL2,DGAT1,DGAT2,DNAJB11,DNAJB9,DNAJC10,DNAJC3,EDEM1,ERLEC1,ERO1A,ERO1B,ERP44,FKBP11,HSP90B1,HSPA5,NCOA3,P4HB,PDIA3,PDIA5,PDIA6,PIGA,PLIN2,SDF2L1,SEC11A,SEC22B,SEC24D,SEC61A1,SEL1L,SELENOS,SLC35B1,SPCS2,SRP19,SRP68,SRPRA,SSR3,STX5,SURF4,SYVN1,TMED3,TNFRSF10B,TXNDC5,UBE2J1,USO1,WFS1,XBP1	377 (11)
valproic acid	chemical drug	1.20E-24	ADRM1,AMFR,ATF4,ATF6,ATP2A3,B4GALT1,BAG1,BAG2,BCL2,BCL2L11,CALR,CASP12,DDIT3,DNAJB11,DNAJB9,DNAJC3,DPM2,EDEM1,EIF2AK3,EIF2S1,ERN1,HERPUD1,HSPA5,IGF1R,MAPK10,MBTPS1,MGAT2,PAK1,PDIA6,POMP,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD6,PSMD7,PSMD8,PSME1,PSME2,PSME3,PSME4,RAB27A,SEL1L,SEM1,SERP1,SERPINH1,SIAH2,SLC35D1,SPCS2,ST3GAL3,ST3GAL5,TNK2,XBP1	511 (16)
NRF1	transcription regulator	1.42E-23	MOGS,POMP,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB10,PSMB3,PSMB4,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD6,PSMD7,PSMD8,PSME1,PSME4,TP53,VCP	 
bortezomib	chemical drug	2.42E-22	AGR2,ATF4,BAG3,BAK1,BAX,BCL2,BCL2L11,BNIP1,CALR,CRYAB,DDIT3,DNAJA1,DNAJB1,DNAJB2,DNAJB4,DNAJB6,EIF2AK3,ERN1,FBXO2,FOXO1,HSP90AA1,HSP90B1,HSPA1A/HSPA1B,HSPA5,IGF1R,IRS1,NPLOC4,NSFL1C,PSMA1,PSMA2,PSMA3,PSMA5,PSMA6,PSMA7,PSMB3,PSMB4,PSMB5,PSMB7,PSMC1,PSMC4,PSMC6,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD6,SEC23IP,TNFRSF10B,TP53,UFD1,VAPB,XBP1	330 (13)
WTAP	other	3.93E-22	ADRM1,BCL2,PIGT,POMP,PSMA1,PSMA2,PSMA3,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD12,PSMD13,PSMD14,PSMD3,PSMD6,PSME4	 
DPP-23	chemical reagent	7.54E-22	ATF4,ATF6B,BAK1,BAX,DDIT3,DNAJA1,DNAJB2,DNAJB4,DNAJB9,ERN1,ERO1A,HSP90AA1,HSPA1A/HSPA1B,HSPA5,HSPA6,SYVN1,XBP1	 
UBQLN2	other	7.33E-21	ADRM1,BCAP29,PSMA1,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB6,PSMC3,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD8	 
folic acid	chemical - endogenous mammalian	1.63E-20	BCL2,CLTC,CSNK1A1,DDIT3,MTOR,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,PSMD9,PSME2,PSME3,PSME4,SEM1,TP53	 
2-amino-1-methyl-6-phenylimidazo-4-5-b-pyridine	chemical toxicant	1.01E-18	ARHGEF1,BAX,BCL2,CCT2,CCT4,CCT5,CCT7,CCT8,HSP90AA1,HSPA5,HSPA8,HSPH1,PSMA2,PSMA6,PSMB1,PSMB2,PSMB4,PSMB9,PSME1,RAB11A,RAB2A,UBA1	 
RAB1B	other	8.55E-18	ARF4,BET1,COPG1,COPZ2,CYTH1,DERL1,KDELR1,KDELR3,NAPA,RAB11FIP2,RAB26,RAB32,SEC22B,SEC24D,SEC31A,SERP1,SRP54,STX3,USO1	 
HSF2	transcription regulator	2.59E-16	CCT2,CCT3,CCT4,CCT5,CCT6A,CCT7,CCT8,HSPA1A/HSPA1B,HSPA4,HSPB1,HSPH1,PSMA1,PSMA5,PSMB2,PSMB5,PSMC4,PSMD10,PSMD3,TCP1	 
SGPP2	phosphatase	4.02E-16	ATF4,DNAJA1,DNAJA4,DNAJB8,DNAJC14,DNAJC3,HSP90AA1,HSPA13,HSPA4,HSPA4L,HSPA5,HSPA8,HSPA9,HSPB8,HSPH1,XBP1	 
TSC2	other	6.83E-16	AGA,AP1B1,AP1G1,AP1M1,AP1M2,AP1S1,AP3B1,AP3D1,AP3M1,AP3S1,AP3S2,ATF4,B3GALT2,BAX,BCL2,CLTA,CLTB,CLTC,CRYAB,CTSA,DDIT3,ERO1A,FUCA1,GGA1,GGA2,GLB1,GNPTAB,GNPTG,HEXA,HEXB,HSPA5,HSPB1,IRS1,MAN2B1,MANBA,NAGPA,NEU1,PSMA1,PSMB1,PSMB2,PSMB5,PSMC3,PSMD1,PSMD14,VAMP8	249 (8)
CNGA3	ion channel	9.47E-16	ATF6,ATF6B,BAX,CALR,CAPN1,CAPN2,DDIT3,DERL1,DNAJC3,EDEM1,EIF2A,ERN1,ERO1B,HSPA5,RYR2,UGGT2	45 (3)
thapsigargin	chemical toxicant	9.91E-16	ATF4,ATF6,ATG5,ATP2A2,BAX,BCL2,CALR,CAPN10,CAPN5,CAPN7,CASP12,DDIT3,DERL2,DNAJB9,DNAJC10,DNAJC3,EDEM1,EIF2A,EIF2AK3,ERLEC1,ERN1,ERO1B,HERPUD1,HMGCR,HSP90B1,HSPA1A/HSPA1B,HSPA5,HSPA9,LMAN1,LMAN2,MAPK10,NCOA3,NEDD4L,PDIA3,SEC13,SELENOS,STX11,STX12,STX3,STX6,SYVN1,TNFRSF10B,TP53,UBA5,UBE2J1,UBXN4,UFM1,VAMP1,VAMP3,WFS1,XBP1	374 (14)
HTT	transcription regulator	3.38E-15	AKT1,AKT2,AP1S1,ARHGEF7,ATP2A2,B3GALT1,B3GALT5,B3GNT2,B4GAT1,BCAP31,BCL2,BCL2L11,CANX,CHST11,CHST9,CRYAB,DDIT3,DNAJA2,DNAJB1,DNAJC3,DPM2,EXT1,FKBP4,GALNT13,GALNT14,GALNT16,GALNT18,GALNT3,GALNT7,GPLD1,HMGCR,HSP90AB1,HSPA5,HSPA8,HSPA9,ITPR1,MAN1A1,MAN1C1,MBTPS1,MGAT4C,MGAT5B,MTOR,NDST4,NEU4,NSF,OGT,PIGF,PIGK,PIGN,PIK3CA,PLOD3,PSMA5,PSMB4,PSMB8,PSMB9,PSMD3,PSME1,RAB10,RAB17,SEC22B,SERPINH1,SGTA,SNAP25,ST3GAL2,ST3GAL3,ST3GAL4,ST6GAL1,ST6GALNAC3,ST6GALNAC5,ST8SIA3,ST8SIA4,ST8SIA5,STX12,STX1A,STX1B,STX4,SYVN1,TP53,TRAP1,UBE2G2,UBE2N,UST,VAMP1,VAMP3,VAPA,VAPB,VTI1B,XBP1,XYLT1	420 (12)
