Gene_name_canonical,consensus graph-based annotation (this study),Leiden cluster label (this study),Ground truth (ML6.0),"Itzhak et al. 2016, compartment","Itzhak et al. 2016, global"
ADSL,cytosol,0,,Large Protein Complex,Mostly Cytosolic
AKAP13,14-3-3_scaffold,0,,Large Protein Complex,Organellar and Cytosolic
AP5Z1,14-3-3_scaffold,0,,Endosome,Mostly Cytosolic
ARAF,14-3-3_scaffold,0,,,Mostly Cytosolic
ARHGAP32,14-3-3_scaffold,0,,,Organellar and Cytosolic
ARHGEF2,14-3-3_scaffold,0,,Large Protein Complex,Organellar and Cytosolic
BAD,14-3-3_scaffold,0,,,Organellar and Cytosolic
BRAF (P15056),cytosol,0,,,Mostly Cytosolic
CAMSAP2,14-3-3_scaffold,0,,Large Protein Complex,Organellar and Cytosolic
CAMSAP3,14-3-3_scaffold,0,,Large Protein Complex,Organellar and Cytosolic
CCDC88A,ER,0,,Large Protein Complex,Organellar and Cytosolic
CDC25B,14-3-3_scaffold,0,,,Mostly Cytosolic
CDR2L,14-3-3_scaffold,0,,,Mostly Cytosolic
CENPJ,14-3-3_scaffold,0,centrosome,,Organellar and Cytosolic
CEP112,14-3-3_scaffold,0,,,
CEP170 (B2RTS4),14-3-3_scaffold,0,centrosome,Large Protein Complex,Organellar and Cytosolic
CEP170 (E7EWM2),14-3-3_scaffold,0,centrosome,Large Protein Complex,Organellar and Cytosolic
CEP170B,14-3-3_scaffold,0,,,Mostly Cytosolic
CFAP410,14-3-3_scaffold,0,,,
CLASP1,14-3-3_scaffold,0,,Large Protein Complex,Organellar and Cytosolic
CLASP2 (E3W994),14-3-3_scaffold,0,,Large Protein Complex,Organellar and Cytosolic
CLASP2 (E7ERI8),14-3-3_scaffold,0,,Large Protein Complex,Organellar and Cytosolic
CRLF3,14-3-3_scaffold,0,,,Mostly Cytosolic
CRTC1,14-3-3_scaffold,0,,,Mostly Cytosolic
CRTC2,14-3-3_scaffold,0,,,Mostly Cytosolic
CRTC3,14-3-3_scaffold,0,,Large Protein Complex,Nuclear and Cytosolic
DEF6,14-3-3_scaffold,0,,,Nuclear and Cytosolic
E2F8,14-3-3_scaffold,0,,,
EML3,14-3-3_scaffold,0,,Large Protein Complex,Organellar and Cytosolic
EXO1,14-3-3_scaffold,0,,Large Protein Complex,Mostly Nuclear
FAM117A,14-3-3_scaffold,0,,,
FAM13A,14-3-3_scaffold,0,,,Nuclear and Cytosolic
FBXO45,14-3-3_scaffold,0,,,Organellar and Cytosolic
FOXK1,14-3-3_scaffold,0,,Large Protein Complex,Nuclear and Cytosolic
FOXO1,14-3-3_scaffold,0,,,Mostly Cytosolic
FOXO3,14-3-3_scaffold,0,,,Nuclear and Cytosolic
FRYL,14-3-3_scaffold,0,,Endosome,Organellar and Cytosolic
GARRE1,14-3-3_scaffold,0,,,
GPRASP2,14-3-3_scaffold,0,,,
HDAC4,14-3-3_scaffold,0,,,Mostly Cytosolic
HDAC7,14-3-3_scaffold,0,,Large Protein Complex,Broad distribution
HECTD4,14-3-3_scaffold,0,,Large Protein Complex,Organellar and Cytosolic
HOMER3,14-3-3_scaffold,0,,Endosome,Organellar and Cytosolic
IRS2,14-3-3_scaffold,0,,Large Protein Complex,Mostly Cytosolic
KIF13B,14-3-3_scaffold,0,,,Organellar and Cytosolic
KIF1A,14-3-3_scaffold,0,,,
KIF1Bbeta,14-3-3_scaffold,0,,,
KIF23,14-3-3_scaffold,0,,No Prediction,Broad distribution
KIF5A,14-3-3_scaffold,0,,,
KIF5B,cytosol,0,,Large Protein Complex,Broad distribution
KIF5B-ALK,14-3-3_scaffold,0,,,
KIF5C,14-3-3_scaffold,0,,,
KLC1,14-3-3_scaffold,0,,Large Protein Complex,Mostly Cytosolic
KLC2,14-3-3_scaffold,0,,Large Protein Complex,Nuclear and Cytosolic
KLC3,14-3-3_scaffold,0,,,Mostly Cytosolic
KLC4,14-3-3_scaffold,0,,,Mostly Cytosolic
KNS2,14-3-3_scaffold,0,,,
KSR1,14-3-3_scaffold,0,,,Mostly Cytosolic
MAP3K2,14-3-3_scaffold,0,,,Mostly Cytosolic
MAP3K5,14-3-3_scaffold,0,,,Organellar and Cytosolic
MAPKAP1,14-3-3_scaffold,0,,Large Protein Complex,Organellar and Cytosolic
MARK2 (Q7KZI7),14-3-3_scaffold,0,,Large Protein Complex,Mostly Organellar
MAST2,14-3-3_scaffold,0,,,Nuclear and Cytosolic
MYCBP2,14-3-3_scaffold,0,,Endosome,Organellar and Cytosolic
