ComplexName,subunits(Entrez IDs),GO ID,GO description,FunCat ID,FunCat description,Complex comment,subunits(Gene name)
Multisubunit ACTR coactivator complex,2033;1387;8850;8202,GO:0030374;GO:0004402,nuclear receptor coactivator activity;histone acetyltransferase activity,,,Cofactor ACTR binds directly nuclear receptors and stimulates their transcriptional activities in a hormone-dependent fashion.,EP300;CREBBP;KAT2B;NCOA3
9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex,11632;15519;15516;11622,GO:0006950;GO:0009593;GO:0042221;GO:0005737,response to stress;detection of chemical stimulus;response to chemical;cytoplasm,32.01;34.11.03;70.03,stress response;chemoperception and response;cytoplasm,"The authors propose that the AhR exists in cytosol as a tetrameric species, while in the nucleus the AhR exists as a heterodimer.",Aip;Hsp90aa1;Hsp90ab1;Ahr
Arp2/3 protein complex,10095;10109;10094;10092;10093;10096;10097,GO:0005885;GO:0030833,Arp2/3 protein complex;regulation of actin filament polymerization,,,,ARPC1B;ARPC2;ARPC3;ARPC5;ARPC4;ACTR3;ACTR2
PA28gamma complex,10197,GO:0043161;GO:0005515;GO:0016504,proteasome-mediated ubiquitin-dependent protein catabolic process;protein binding;peptidase activator activity,14.13.01.01;16.01;18.02.01.01.03,proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;protease activator,,PSME3
PA28 complex,5720;5721,GO:0043161;GO:0006511;GO:0051098;GO:0005515;GO:0016504;GO:0005737,proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;regulation of binding;protein binding;peptidase activator activity;cytoplasm,14.13.01.01;18.01.07;16.01;18.02.01.01.03;70.03,proteasomal degradation (ubiquitin/proteasomal pathway);regulation by binding / dissociation;protein binding;protease activator;cytoplasm,"PA28 is a regulatory complex of the 20S proteasome. It acts as proteasome activator and stimulates cleavage after basic, acidic, and most hydrophobic residues in many peptides.",PSME1;PSME2
PA28 complex,510041;509857,GO:0043161;GO:0005515;GO:0016504;GO:0005737,proteasome-mediated ubiquitin-dependent protein catabolic process;protein binding;peptidase activator activity;cytoplasm,14.13.01.01;16.01;18.02.01.01.03;70.03,proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;protease activator;cytoplasm,"PA28 is a regulatory complex of the 20S proteasome. It acts as proteasome activator and stimulates cleavage after basic, acidic, and most hydrophobic residues in many peptides.",PSME1;PSME2
PA700 complex,5717;5718;5715;10213;5709;5716;5702;5701;5704;5714;5713;5710;5700;5705;5706;5708;9861;5711;5707;5719,GO:0043161;GO:0005515;GO:0016504,proteasome-mediated ubiquitin-dependent protein catabolic process;protein binding;peptidase activator activity,14.13.01.01;16.01;18.02.01.01.03,proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;protease activator,"The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.",PSMD11;PSMD12;PSMD9;PSMD14;PSMD3;PSMD10;PSMC3;PSMC2;PSMC4;PSMD8;PSMD7;PSMD4;PSMC1;PSMC5;PSMC6;PSMD2;PSMD6;PSMD5;PSMD1;PSMD13
AP1 adaptor complex,164;8906;8905;1174;162;130340;8907;10053,GO:0006886;GO:0006605;GO:0015031;GO:0016192;GO:0006900;GO:0016050;GO:0006897;GO:0030133,intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport;vesicle budding from membrane;vesicle organization;endocytosis;transport vesicle,14.04;20.01.10;20.09.07;20.09.07.25;20.09.18.09.01;70.09,"protein targeting, sorting and translocation;protein transport;vesicular transport (Golgi network, etc.);vesicle formation;endocytosis;intracellular transport vesicles",This adaptor-related complex participates in a transport step different from that of AP-1. It may function at some trafficking step in the complex pathways between the TGN and the cell surface.,AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1S3;AP1M1;AP1M2
20S proteasome,19170;19173;19167;19166;19177;19172;19175;26443;26441;26446;26445;26440;26444;26442,GO:0016485;GO:0043161;GO:0006511;GO:0006950;GO:0005737;GO:0005634,protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus,14.07.11;14.13.01.01;32.01;70.03;70.10,protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;cytoplasm;nucleus,"The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.",Psmb1;Psmb5;Psma3;Psma2;Psmb7;Psmb4;Psmb6;Psma6;Psma4;Psmb3;Psmb2;Psma1;Psma7;Psma5
Immunoproteasome,19170;19171;19167;16913;16912;19166;19172;26443;26441;26446;26445;26440;26444;26442,GO:0016485;GO:0043161;GO:0006511;GO:0006950;GO:0019882;GO:0005737;GO:0005634,protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;antigen processing and presentation;cytoplasm;nucleus,14.07.11;14.13.01.01;32.01;36.25.16.03.05;70.03;70.10,protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;antigen presentation / processing;cytoplasm;nucleus,"The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.",Psmb1;Psmb10;Psma3;Psmb8;Psmb9;Psma2;Psmb4;Psma6;Psma4;Psmb3;Psmb2;Psma1;Psma7;Psma5
