SYMBOL,ComplexID,ComplexName,Organism,subunits(Entrez.IDs),subunits(Gene.name),subunits(Gene.name.syn),GO.description,FunCat.description
ABL1,1595,Cdk5-c-Abl-Cables complex,Mouse,11350;12568;63955,Abl1;Cdk5;Cables1,"Abl, c-Abl;Cdkn5, Crk6;Cables",protein phosphorylation;nervous system development;neuron projection development,"modification by phosphorylation, dephosphorylation, autophosphorylation;nervous system"
ABL1,2811,BRCA1-cABL complex,Human,25;672,ABL1;BRCA1,"ABL, JTK7;RNF53",response to radiation;protein tyrosine kinase activity,"electromagnetic waves stress response (e.g. UV, X-ray)"
ABL1,5707,Abl1-Dok1-Nck1 complex,Mouse,11350;13448;17973,Abl1;Dok1;Nck1,"Abl, c-Abl;Dok;None",actin cytoskeleton organization;osteoblast differentiation,"actin cytoskeleton;structural cell of tissue (fibroblast, osteoblast, etc.)"
ABL1,6076,c-Abl-cortactin-nmMLCK complex,Human,25;2017;4638,ABL1;CTTN;MYLK,"ABL, JTK7;EMS1;MLCK, MLCK1, MYLK1",cytoskeleton organization;establishment of endothelial barrier,cytoskeleton/structural proteins
ABL1,6592,c-Abl-CAS-Abi1 complex,Human,25;9564;10006,ABL1;BCAR1;ABI1,"ABL, JTK7;CAS, CASS1, CRKAS;SSH3BP1",regulation of smooth muscle contraction,None
ABL1,7257,Abl1-Abl2-Crk-Unc119 complex,Mouse,11350;None;12928;22248,Abl1;Abl2;Crk;Unc119,"Abl, c-Abl;Arg;Crko;Unc119h",negative regulation of protein kinase activity by protein phosphorylation,None
ABL2,1700,ABL2-HRAS-RIN1 complex,Human,3265;27;9610,HRAS;ABL2;RIN1,HRAS1;ABLL ARG;,intracellular signal transduction,cellular signalling
ABL2,7257,Abl1-Abl2-Crk-Unc119 complex,Mouse,11350;None;12928;22248,Abl1;Abl2;Crk;Unc119,"Abl, c-Abl;Arg;Crko;Unc119h",negative regulation of protein kinase activity by protein phosphorylation,None
ACAP1,6080,ACAP1-CLTC-SLC2A4 complex,Human,6517;1213;9744,SLC2A4;CLTC;ACAP1,"GLUT4;CLH17, CLTCL2, KIAA0034, CHC;CENTB1, KIAA0050",endocytic recycling,None
ACTR2,27,Arp2/3 protein complex,Human,10095;10109;10094;10092;10093;10096;10097,ARPC1B;ARPC2;ARPC3;ARPC5;ARPC4;ACTR3;ACTR2,ARC41;ARC34;ARC21;ARC16;ARC20;ARP3;ARP2,Arp2/3 protein complex;regulation of actin filament polymerization,None
