CHO_ID	CHO_SYM	HUMAN_ID	HUMAN_SYM
100682525	Tp53	7157	TP53
100682526	Tuba1c	84790	TUBA1C
100682529	Mgat1	4245	MGAT1
100682530	Plec	5339	PLEC
100682531	Kif23	9493	KIF23
100682532	Manea	79694	MANEA
100682533	Aimp2	7965	AIMP2
100682534	Furin	5045	FURIN
100682535	Abcb4	5244	ABCB4
100682536	Abcb1	5243	ABCB1
100682538	Ahr	196	AHR
100682539	Slc35c2	51006	SLC35C2
100684971	Adam17	6868	ADAM17
100689010	LOC100689010	3134	HLA-F
100689015	Pex5	5830	PEX5
100689016	Polr2a	5430	POLR2A
100689017	Srebf2	6721	SREBF2
100689018	Srebf1	6720	SREBF1
100689019	Chcr1	873	CBR1
100689020	Chcr2	873	CBR1
100689021	Cbr3	874	CBR3
100689022	Fpgs	2356	FPGS
100689023	Slc20a2	6575	SLC20A2
100689025	Slc20a1	6574	SLC20A1
100689026	Ubtf	7343	UBTF
100689027	Col7a1	1294	COL7A1
100689029	Lpin1	23175	LPIN1
100689030	Slc35b4	84912	SLC35B4
100689031	Slc35a2	7355	SLC35A2
100689032	Bax	581	BAX
100689036	Fut9	10690	FUT9
100689037	Gja4	2701	GJA4
100689038	Col4a3bp	10087	COL4A3BP
100689039	Cdk2	1017	CDK2
100689040	Hmga1	3159	HMGA1
100689041	Hspg2	3339	HSPG2
100689042	Orc5	5001	ORC5
100689043	Orc4	5000	ORC4
100689044	Ercc4	2072	ERCC4
100689045	Rpsa	3921	RPSA
100689046	Top1	7150	TOP1
100689047	Pex2	5828	PEX2
100689048	Scap	22937	SCAP
100689049	Mpdu1	9526	MPDU1
100689051	Eef2	1938	EEF2
100689052	Myl6	4637	MYL6
100689053	Rps17	6218	RPS17
100689054	Dpagt1	1798	DPAGT1
100689055	Lrrfip1	9208	LRRFIP1
100689056	Ncl	4691	NCL
100689057	Sdc1	6382	SDC1
100689058	Rps2	6187	RPS2
100689060	Adsl	158	ADSL
100689061	Casp3	836	CASP3
100689062	Xbp1	7494	XBP1
100689063	Ccnd1	595	CCND1
100689064	Ldha	3939	LDHA
100689065	Gna11	2767	GNA11
100689066	Gnaq	2776	GNAQ
100689067	Gnas	2778	GNAS
100689068	Gnai2	2771	GNAI2
100689069	Gnao1	2775	GNAO1
100689070	Gnai1	2770	GNAI1
100689071	Gna13	10672	GNA13
100689072	Gnai3	2773	GNAI3
100689075	Cirbp	1153	CIRBP
100689076	Mgat3	4248	MGAT3
100689077	Gja1	2697	GJA1
100689078	Rad51c	5889	RAD51C
100689079	Insig2	51141	INSIG2
100689080	Insig1	3638	INSIG1
100689081	Slc9a3r1	9368	SLC9A3R1
100689082	Xpr1	9213	XPR1
100689085	Mbtps2	51360	MBTPS2
100689086	Srsf1	6426	SRSF1
100689088	Tubb	203068	TUBB
100689089	Tubb4b	10383	TUBB4B
100689090	Neu3	10825	NEU3
100689092	Bst2	684	BST2
100689093	Pisd	23761	PISD
100689094	Slc31a1	1317	SLC31A1
100689095	Dnase1l1	1774	DNASE1L1
100689096	Calr	811	CALR
100689097	Creld2	79174	CRELD2
100689098	Mogs	7841	MOGS
100689099	Vim	7431	VIM
100689101	Ctps1	1503	CTPS1
100689102	Fth1	2495	FTH1
100689103	Ssb	6741	SSB
100689104	Mapk14	1432	MAPK14
100689106	Akr1a1	10327	AKR1A1
100689173	Hs6st1	9394	HS6ST1
100689175	Cdkn1a	1026	CDKN1A
100689176	Slc7a1	6541	SLC7A1
100689182	S1pr3	1903	S1PR3
100689183	S1pr2	9294	S1PR2
100689184	S1pr5	53637	S1PR5
100689185	Tlr6	10333	TLR6
100689186	Il6	3569	IL6
100689187	St3gal3	6487	ST3GAL3
100689188	Slc38a2	54407	SLC38A2
100689189	P2ry2	5029	P2RY2
100689190	Gnat1	2779	GNAT1
100689191	Lpl	4023	LPL
100689192	Fdft1	2222	FDFT1
100689193	Pde1b	5153	PDE1B
100689195	Sars	6301	SARS
100689196	Xpa	7507	XPA
100689197	Brca2	675	BRCA2
100689198	S1pr1	1901	S1PR1
100689199	Acox1	51	ACOX1
100689201	Ddrgk1	65992	DDRGK1
100689202	Gls	2744	GLS
100689203	Psmc3	5702	PSMC3
100689204	Cdh2	1000	CDH2
100689206	Trpc1	7220	TRPC1
100689207	Fasn	2194	FASN
100689208	Abcc1	4363	ABCC1
100689209	Trpc3	7222	TRPC3
100689210	Gnpda1	10007	GNPDA1
100689217	St8sia4	7903	ST8SIA4
100689219	Klc1	3831	KLC1
100689220	Abcc2	1244	ABCC2
100689222	App	351	APP
100689224	Eif6	3692	EIF6
100689230	Dnajc10	54431	DNAJC10
100689232	Cad	790	CAD
100689237	Birc6	57448	BIRC6
100689238	Aimp1	9255	AIMP1
100689239	Dicer1	23405	DICER1
100689240	Glg1	2734	GLG1
100689242	Atp7a	538	ATP7A
100689243	Cdc6	990	CDC6
100689245	Pparg	5468	PPARG
100689246	Bsg	682	BSG
100689247	Cnbp	7555	CNBP
100689250	Aicda	57379	AICDA
100689251	Pik3ca	5290	PIK3CA
100689252	Pik3cb	5291	PIK3CB
100689253	Rarres2	5919	RARRES2
100689254	Noc3l	64318	NOC3L
100689256	Znf330	27309	ZNF330
100689267	Ubc	7316	UBC
100689272	Ercc2	2068	ERCC2
100689273	Fancg	2189	FANCG
100689274	Cenpb	1059	CENPB
100689275	Cyp7a1	1581	CYP7A1
100689276	Eef1a1	1915	EEF1A1
100689277	Ap3m1	26985	AP3M1
100689279	Rho	6010	RHO
100689280	Dao	1610	DAO
100689281	Apex1	328	APEX1
100689282	Nat2	9	NAT1
100689285	Tk1	7083	TK1
100689286	Gjb6	10804	GJB6
100689287	Cbx5	23468	CBX5
100689292	Rps14	6208	RPS14
100689293	Rps13	6207	RPS13
100689294	Dpm2	8818	DPM2
100689301	Neu2	4759	NEU2
100689302	Pex19	5824	PEX19
100689303	Pcyt1a	5130	PCYT1A
100689304	Top2a	7153	TOP2A
100689305	Hspa5	3309	HSPA5
100689306	Xrcc5	7520	XRCC5
100689307	Tmed2	10959	TMED2
100689308	Hyou1	10525	HYOU1
100689309	Kif2c	11004	KIF2C
100689310	Eef1e1	9521	EEF1E1
100689311	Gstp1	2950	GSTP1
100689312	Gosr1	9527	GOSR1
100689313	Sec22b	9554	SEC22B
100689314	Tst	7263	TST
100689315	Slc3a2	6520	SLC3A2
100689316	Lamp2	3920	LAMP2
100689317	Soat1	6646	SOAT1
100689320	Slc9a1	6548	SLC9A1
100689321	Htr1b	3351	HTR1B
100689322	Slc35a1	10559	SLC35A1
100689323	Fxr1	8087	FXR1
100689324	Rad51	5888	RAD51
100689325	Ugp2	7360	UGP2
100689326	Sptlc1	10558	SPTLC1
100689327	Serpinh1	871	SERPINH1
100689328	Ndufa1	4694	NDUFA1
100689329	Tlr4	7099	TLR4
100689331	Rad52	5893	RAD52
100689332	Prdx1	5052	PRDX1
100689333	Orc2	4999	ORC2
100689334	Ext1	2131	EXT1
100689335	Pcna	5111	PCNA
100689336	Mmp14	4323	MMP14
100689338	Ddr2	4921	DDR2
100689339	Dbf4	10926	DBF4
100689341	Cdc7	8317	CDC7
100689342	Ly96	23643	LY96
100689343	Pdia3	2923	PDIA3
100689344	Taldo1	6888	TALDO1
100689345	Canx	821	CANX
100689346	B4galt3	8703	B4GALT3
100689347	B4galt5	9334	B4GALT5
100689348	Tsta3	7264	TSTA3
100689349	Prdx2	7001	PRDX2
100689350	Hdac5	10014	HDAC5
100689351	Slc1a4	6509	SLC1A4
100689352	Mad1l1	8379	MAD1L1
100689353	C1d	10438	C1D
100689354	Prelid3b	51012	PRELID3B
100689357	Gjc1	10052	GJC1
100689359	Cbx1	10951	CBX1
100689360	Slc25a32	81034	SLC25A32
100689361	Ndufb11	54539	NDUFB11
100689362	Cdc45	8318	CDC45
100689363	Tubb6	84617	TUBB6
100689364	Cyren	78996	CYREN
100689365	Dph2	1802	DPH2
100689366	Birc5	332	BIRC5
100689367	Ercc3	2071	ERCC3
100689368	Bak1	578	BAK1
100689369	Casp8	841	CASP8
100689370	LOC100689370	842	CASP9
100689371	Bcl2l1	598	BCL2L1
100689372	Rbm3	5935	RBM3
100689373	Neu1	4758	NEU1
100689374	Xiap	331	XIAP
100689375	Pls3	5358	PLS3
100689376	Rpl13	6137	RPL13
100689377	Ercc1	2067	ERCC1
100689378	Pex13	5194	PEX13
100689379	S100b	6285	S100B
100689380	Pigu	128869	PIGU
100689381	Dnaja1	3301	DNAJA1
100689382	Slc35c1	55343	SLC35C1
100689385	Pgap2	27315	PGAP2
100689386	Atf4	468	ATF4
100689388	Ilk	3611	ILK
100689389	St6gal1	6480	ST6GAL1
100689390	Rnaseh1	246243	RNASEH1
100689392	Ctsz	1522	CTSZ
100689393	Gmnn	51053	GMNN
100689394	Slc35a3	23443	SLC35A3
100689395	Tfrc	7037	TFRC
100689396	Slc10a2	6555	SLC10A2
100689397	Hsp90aa1	3320	HSP90AA1
100689398	Impdh2	3615	IMPDH2
100689399	Ldlr	3949	LDLR
100689400	Fau	2197	FAU
100689401	Cdkn1b	1027	CDKN1B
100689402	Sdhc	6391	SDHC
100689403	Map2k1	5604	MAP2K1
100689404	Pld1	5337	PLD1
100689405	Hspa9	3313	HSPA9
100689406	Lamp1	3916	LAMP1
100689407	Slc19a1	6573	SLC19A1
100689408	Rps4x	6191	RPS4X
100689409	B2m	567	B2M
100689410	Tsn	7247	TSN
100689412	Cope	11316	COPE
100689413	Stip1	10963	STIP1
100689414	Xrcc1	7515	XRCC1
100689415	Sptlc2	9517	SPTLC2
100689416	Layn	143903	LAYN
100689417	Mbtps1	8720	MBTPS1
100689418	Fos	2353	FOS
100689419	B3gat3	26229	B3GAT3
100689420	Dpm1	8813	DPM1
100689421	Gbf1	8729	GBF1
100689422	Plaur	5329	PLAUR
100689423	Hbegf	1839	HBEGF
100689424	Npc1	4864	NPC1
100689425	Orc1	4998	ORC1
100689427	Sat1	6303	SAT1
100689428	Icam1	3383	ICAM1
100689430	B4galt1	2683	B4GALT1
100689432	Ugcg	7357	UGCG
100689433	P4hb	5034	P4HB
100689434	B4galt2	8704	B4GALT2
100689435	B4galt4	8702	B4GALT4
100689436	Gmds	2762	GMDS
100689437	Dld	1738	DLD
100689438	B4galt6	9331	B4GALT6
100689440	St3gal4	6484	ST3GAL4
100689441	Tex101	83639	TEX101
100689442	Gnb1	2782	GNB1
100689443	Cbx3	11335	CBX3
100689445	Casp2	835	CASP2
100689446	Gart	2618	GART
100689447	Ankrd1	27063	ANKRD1
100689448	Ptdss2	81490	PTDSS2
100689449	Pgs1	9489	PGS1
100689450	Gne	10020	GNE
100689451	Dpm3	54344	DPM3
100689452	Cga	1081	CGA
100689453	Fshb	2488	FSHB
100689454	Pgap3	93210	PGAP3
100689455	Fis1	51024	FIS1
100689456	Edem1	9695	EDEM1
100689457	Mppe1	65258	MPPE1
100689458	Rnps1	10921	RNPS1
100689459	Cenpa	1058	CENPA
100689460	Cdt1	81620	CDT1
100689461	Antxr2	118429	ANTXR2
100689462	Hsph1	10808	HSPH1
100689463	Parp1	142	PARP1
100689464	Slc1a3	6507	SLC1A3
100689465	Cep135	9662	CEP135
100689466	Taf7	6879	TAF7
100689467	Pgk1	5230	PGK1
100689468	Gpi	2821	GPI
100689469	G6pd	2539	G6PD
100689471	Htr2a	3356	HTR2A
100689472	Hspa8	3312	HSPA8
100689473	Hspd1	3329	HSPD1
100689474	Rcan1	1827	RCAN1
100689475	Elk3	2004	ELK3
100689476	Tcp1	6950	TCP1
100736551	Adk	132	ADK
100736552	Scarb1	949	SCARB1
100736553	Efemp2	30008	EFEMP2
100736554	Pea15	8682	PEA15
100736555	Smu1	55234	SMU1
100736556	Pex7	5191	PEX7
100736557	Gapdh	2597	GAPDH
100750331	Gtf2a2	2958	GTF2A2
100750332	Bmpr1a	657	BMPR1A
100750333	Meltf	4241	MELTF
100750338	Slfn5	162394	SLFN5
100750342	Ccdc96	257236	CCDC96
100750343	Lamtor1	55004	LAMTOR1
100750344	Tvp23a	780776	TVP23A
100750348	Dmc1	11144	DMC1
100750351	LOC100750351	143678	C11orf94
100750352	Pdhx	8050	PDHX
100750353	Hilpda	29923	HILPDA
100750354	Rps6ka4	8986	RPS6KA4
100750355	LOC100750355	2635	GBP3
100750356	Gpat2	150763	GPAT2
100750357	Gstm3	2947	GSTM3
100750358	Xpo6	23214	XPO6
100750359	Ssuh2	51066	SSUH2
100750361	Amer3	205147	AMER3
100750362	Tctn1	79600	TCTN1
100750364	LOC100750364	157724	SLC7A13
100750367	Apopt1	84334	APOPT1
100750368	Smarca1	6594	SMARCA1
100750372	Dis3	22894	DIS3
100750373	Sh3kbp1	30011	SH3KBP1
100750374	Hoxb4	3214	HOXB4
100750375	Srpx2	27286	SRPX2
100750377	LOC100750377	128368	OR10Z1
100750379	Socs4	122809	SOCS4
100750380	Pdzd8	118987	PDZD8
100750382	Axin2	8313	AXIN2
100750385	Tmem54	113452	TMEM54
100750386	Bod1	91272	BOD1
100750387	Slc15a5	729025	SLC15A5
100750388	Eif2s2	8894	EIF2S2
100750389	Lrrc40	55631	LRRC40
100750390	Ube2q1	55585	UBE2Q1
100750391	Slc25a23	79085	SLC25A23
100750393	Itga1	3672	ITGA1
100750394	Pno1	56902	PNO1
100750395	Madcam1	8174	MADCAM1
100750396	Pxk	54899	PXK
100750397	Etv3	2117	ETV3
100750398	Chchd3	54927	CHCHD3
100750399	Col27a1	85301	COL27A1
100750401	Mtmr12	54545	MTMR12
100750402	LOC100750402	57699	CPNE5
100750403	Nhs	4810	NHS
100750404	Gstk1	373156	GSTK1
100750407	LOC100750407	22954	TRIM32
100750408	Ppt1	5538	PPT1
100750409	Myoc	4653	MYOC
100750410	Mrgprg	386746	MRGPRG
100750411	LOC100750411	79689	STEAP4
100750413	Cfap65	255101	CFAP65
100750414	Chd8	57680	CHD8
100750415	Cuedc2	79004	CUEDC2
100750416	Mbd5	55777	MBD5
100750417	N4bp1	9683	N4BP1
100750418	LOC100750418	57180	ACTR3B
100750419	Chrdl1	91851	CHRDL1
100750420	Pde2a	5138	PDE2A
100750422	Il17a	3605	IL17A
100750425	Psmd2	5708	PSMD2
100750426	Btrc	8945	BTRC
100750427	Dtl	51514	DTL
100750429	Sypl2	284612	SYPL2
100750430	Atp4b	496	ATP4B
100750431	Rnf40	9810	RNF40
100750434	Pcdhb14	56122	PCDHB14
100750437	LOC100750437	114134	SLC2A13
100750439	Akr1e2	83592	AKR1E2
100750440	Sfxn3	81855	SFXN3
100750441	Slc38a8	146167	SLC38A8
100750444	Selenof	9403	SELENOF
100750445	Pdcd6	10016	PDCD6
100750446	Tfb1m	51106	TFB1M
100750447	Tprn	286262	TPRN
100750449	Jakmip3	282973	JAKMIP3
100750451	Itm2c	81618	ITM2C
100750454	Tlr3	7098	TLR3
100750457	Cidec	63924	CIDEC
100750460	Gpbp1l1	60313	GPBP1L1
100750462	Serpinc1	462	SERPINC1
100750463	Zw10	9183	ZW10
100750465	Rnf44	22838	RNF44
100750466	Bcl10	8915	BCL10
100750469	Il18	3606	IL18
100750470	Tmtc2	160335	TMTC2
100750471	Klhl11	55175	KLHL11
100750472	Tmem221	100130519	TMEM221
100750477	Hemk1	51409	HEMK1
100750479	Gpr19	2842	GPR19
100750480	Myt1l	23040	MYT1L
100750481	Tmem204	79652	TMEM204
100750482	LOC100750482	150483	TEKT4
100750483	Pgam5	192111	PGAM5
100750484	LOC100750484	205327	C2orf69
100750485	Kiaa1147	57189	KIAA1147
100750487	Mospd2	158747	MOSPD2
100750488	Ikbkb	3551	IKBKB
100750489	Oasl	8638	OASL
100750491	Vangl1	81839	VANGL1
100750492	Ppp1r17	10842	PPP1R17
100750493	LOC100750493	25822	DNAJB5
100750494	Fmo5	2330	FMO5
100750495	Ceacam19	56971	CEACAM19
100750497	LOC100750497	219487	OR5M11
100750498	LOC100750498	3751	KCND2
