Gene Entrez ID,Gene Symbol,Gene Name,Gene Description,PICR Ensembl ID,CHOK1GS Ensembl ID,Transcript ID,Protein ID,GO Terms,Uniprot ID,Human Entrez ID,Human Gene Name,system
100754260,Hsd3b7,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7","This gene encodes an enzyme which is involved in the initial stages of the synthesis of bile acids from cholesterol and a member of the short-chain dehydrogenase/reductase superfamily. The encoded protein is a membrane-associated endoplasmic reticulum protein which is active against 7-alpha hydrosylated sterol substrates. Mutations in this gene are associated with a congenital bile acid synthesis defect which leads to neonatal cholestasis, a form of progressive liver disease. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2008]",ENSCGRG00015024104,ENSCGRG00001010375,XM_003510980,XP_003511028,"['GO:0016020', 'GO:0016491', 'GO:0016616', 'GO:0003854', 'GO:0006694', 'GO:0047016', 'GO:0035754', 'GO:0005811', 'GO:0006694', 'GO:0003854', 'GO:0016616']",G3I7C5,80270,HSD3B7,Lipid Metabolism
100769024,LOC100769024,aromatase,"This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and catalyzes the last steps of estrogen biosynthesis. Mutations in this gene can result in either increased or decreased aromatase activity; the associated phenotypes suggest that estrogen functions both as a sex steroid hormone and in growth or differentiation. Alternative promoter use and alternative splicing results in multiple transcript variants that have different tissue specificities. [provided by RefSeq, Dec 2016]",ENSCGRG00015026385,ENSCGRG00001015094,XM_003508783,XP_003508831,"['GO:0016020', 'GO:0046872', 'GO:0016491', 'GO:0004497', 'GO:0005506', 'GO:0016705', 'GO:0020037', 'GO:0016712', 'GO:0070330', 'GO:0002677', 'GO:0006710', 'GO:0008209', 'GO:0008585', 'GO:0010760', 'GO:0030540', 'GO:0030879', 'GO:0060065', 'GO:0060736', 'GO:0061370', 'GO:2000866', 'GO:0005783']",A0A061IC63,1588,CYP19A1,Lipid Metabolism
100774660,Pgls,6-phosphogluconolactonase,"Enables 6-phosphogluconolactonase activity. Involved in pentose-phosphate shunt. Located in extracellular exosome. [provided by Alliance of Genome Resources, Apr 2022]",ENSCGRG00015004513,ENSCGRG00001024276,XM_027428449,XP_027284250,"['GO:0016787', 'GO:0005975', 'GO:0017057', 'GO:0006098']", ,25796,PGLS,Energy Metabolism
100761029,Pgm2,phosphoglucomutase 2,"Enables phosphopentomutase activity. Predicted to be involved in carbohydrate metabolic process and deoxyribose phosphate catabolic process. Predicted to act upstream of or within glucose metabolic process. Located in extracellular exosome. [provided by Alliance of Genome Resources, Apr 2022]",ENSCGRG00015000193,ENSCGRG00001019866,XM_003513481,XP_003513529,"['GO:0046872', 'GO:0005975', 'GO:0000287', 'GO:0016853', 'GO:0016868', 'GO:0071704', 'GO:0004614', 'GO:0008973', 'GO:0006006', 'GO:0005829', 'GO:0005980']",G3IFE7,55276,PGM2,Energy Metabolism
100689430,B4galt1,"beta-1,4-galactosyltransferase 1","This gene is one of seven beta-1,4-galactosyltransferase (beta4GalT) genes. They encode type II membrane-bound glycoproteins that appear to have exclusive specificity for the donor substrate UDP-galactose; all transfer galactose in a beta1,4 linkage to similar acceptor sugars: GlcNAc, Glc, and Xyl. Each beta4GalT has a distinct function in the biosynthesis of different glycoconjugates and saccharide structures. As type II membrane proteins, they have an N-terminal hydrophobic signal sequence that directs the protein to the Golgi apparatus and which then remains uncleaved to function as a transmembrane anchor. By sequence similarity, the beta4GalTs form four groups: beta4GalT1 and beta4GalT2, beta4GalT3 and beta4GalT4, beta4GalT5 and beta4GalT6, and beta4GalT7. This gene is unique among the beta4GalT genes because it encodes an enzyme that participates both in glycoconjugate and lactose biosynthesis. For the first activity, the enzyme adds galactose to N-acetylglucosamine residues that are either monosaccharides or the nonreducing ends of glycoprotein carbohydrate chains. The second activity is restricted to lactating mammary tissues where the enzyme forms a heterodimer with alpha-lactalbumin to catalyze UDP-galactose + D-glucose <=> UDP + lactose. The two enzymatic forms result from alternate transcription initiation sites and post-translational processing. Two transcripts, which differ only at the 5' end, with approximate lengths of 4.1 kb and 3.9 kb encode the same protein. The longer transcript encodes the type II membrane-bound, trans-Golgi resident protein involved in glycoconjugate biosynthesis. The shorter transcript encodes a protein which is cleaved to form the soluble lactose synthase. [provided by RefSeq, Jul 2008]",ENSCGRG00015005476,ENSCGRG00001014638,NM_001246691,NP_001233620,"['GO:0016323', 'GO:0005794', 'GO:0030145', 'GO:0003945', 'GO:0000138', 'GO:0003831', 'GO:0004461', 'GO:0031526', 'GO:0005886', 'GO:0030198', 'GO:0043065', 'GO:0009897', 'GO:0032991', 'GO:0042060', 'GO:0009986', 'GO:0008283', 'GO:0007339', 'GO:1905517', 'GO:0009312', 'GO:0050680', 'GO:0007155', 'GO:0050673', 'GO:0060055', 'GO:0002064', 'GO:0006486', 'GO:0007341', 'GO:0060046', 'GO:0006487', 'GO:0002526', 'GO:0005989', 'GO:0006012', 'GO:0009101', 'GO:0045136', 'GO:0060054', 'GO:0008378', 'GO:0035250', 'GO:0030057', 'GO:0016757', 'GO:0005975', 'GO:0004461', 'GO:0016757', 'GO:0005975']",Q99PC2,2683,B4GALT1,Protein Product Synthesis
100772123,Fig4,FIG4 phosphoinositide 5-phosphatase,"The protein encoded by this gene belongs to the SAC domain-containing protein gene family. The SAC domain, approximately 400 amino acids in length and consisting of seven conserved motifs, has been shown to possess phosphoinositide phosphatase activity. The yeast homolog, Sac1p, is involved in the regulation of various phosphoinositides, and affects diverse cellular functions such as actin cytoskeleton organization, Golgi function, and maintenance of vacuole morphology. Membrane-bound phosphoinositides function as signaling molecules and play a key role in vesicle trafficking in eukaryotic cells. Mutations in this gene have been associated with Charcot-Marie-Tooth disease, type 4J. [provided by RefSeq, Jul 2008]",ENSCGRG00015026280,ENSCGRG00001015893,XM_003496990,XP_003497038,"['GO:0016020', 'GO:0016791', 'GO:0036092', 'GO:0046856', 'GO:0007033', 'GO:0007626', 'GO:0031642', 'GO:0032288', 'GO:0043473', 'GO:0046488', 'GO:0048666', 'GO:0043813', 'GO:0005811', 'GO:0010008', 'GO:0043231', 'GO:0042552']",G3GXM2,9896,FIG4,Vitamin & Cofactor Metabolism
100764709,L3hypdh,trans-L-3-hydroxyproline dehydratase,"The protein encoded by this gene is a dehydratase that converts trans-3-hydroxy-L-proline to delta(1)-pyrroline-2-carboxylate. This enzyme may function to degrade dietary proteins that contain trans-3-hydroxy-L-proline as well as other proteins such as collagen IV. The encoded protein can be converted to an epimerase by changing a threonine to a cysteine at a catalytic site. [provided by RefSeq, Sep 2016]",ENSCGRG00015026925,ENSCGRG00001016943,XM_003512801,XP_003512849,"['GO:0016836', 'GO:0050346']", ,112849,L3HYPDH,Amino Acid Metabolism
100754978,Adpgk,ADP dependent glucokinase,"ADPGK (EC 2.7.1.147) catalyzes the ADP-dependent phosphorylation of glucose to glucose-6-phosphate and may play a role in glycolysis, possibly during ischemic conditions (Ronimus and Morgan, 2004 [PubMed 14975750]).[supplied by OMIM, Mar 2008]",ENSCGRG00015023816,ENSCGRG00001009816,XM_003502397,XP_003502445,"['GO:0016301', 'GO:0016310', 'GO:0006096', 'GO:0005975', 'GO:0016773', 'GO:0043843', 'GO:0006006', 'GO:0005783']",G3HEJ5,83440,ADPGK,Energy Metabolism
100750352,Pdhx,pyruvate dehydrogenase complex component X,"The pyruvate dehydrogenase (PDH) complex is located in the mitochondrial matrix and catalyzes the conversion of pyruvate to acetyl coenzyme A. The PDH complex thereby links glycolysis to Krebs cycle. The PDH complex contains three catalytic subunits, E1, E2, and E3, two regulatory subunits, E1 kinase and E1 phosphatase, and a non-catalytic subunit, E3 binding protein (E3BP). This gene encodes the E3 binding protein subunit; also known as component X of the pyruvate dehydrogenase complex. This protein tethers E3 dimers to the E2 core of the PDH complex. Defects in this gene are a cause of pyruvate dehydrogenase deficiency which results in neurological dysfunction and lactic acidosis in infancy and early childhood. This protein is also a minor antigen for antimitochondrial antibodies. These autoantibodies are present in nearly 95% of patients with the autoimmune liver disease primary biliary cirrhosis (PBC). In PBC, activated T lymphocytes attack and destroy epithelial cells in the bile duct where this protein is abnormally distributed and overexpressed. PBC eventually leads to cirrhosis and liver failure. Alternative splicing results in multiple transcript variants encoding distinct isoforms.[provided by RefSeq, Oct 2009]",ENSCGRG00015010885,ENSCGRG00001020048,XM_003497445,XP_003497493,"['GO:0034604', 'GO:0045254', 'GO:0016746', 'GO:0006086', 'GO:0005967']",G3GYZ0,8050,PDHX,Energy Metabolism
100767345,Anapc11,anaphase promoting complex subunit 11,"Enables cullin family protein binding activity and ubiquitin-ubiquitin ligase activity. Contributes to ubiquitin-protein transferase activity. Involved in protein K11-linked ubiquitination. Located in nucleolus and nucleoplasm. Part of anaphase-promoting complex. [provided by Alliance of Genome Resources, Apr 2022]",ENSCGRG00015025110,ENSCGRG00001015542,XM_003496894,XP_003496942,"['GO:0046872', 'GO:0008270', 'GO:0061630', 'GO:0005680', 'GO:0051301', 'GO:0031145', 'GO:0097602', 'GO:0004842', 'GO:0034450', 'GO:0016567', 'GO:0070979', 'GO:0005654', 'GO:0005730']",A0A3L7H9X5,51529,ANAPC11,Lipid Metabolism
