,Gene Entrez ID,Gene Symbol,Gene Name,Gene Description,PICR Ensembl ID,CHOK1GS Ensembl ID,Transcript ID,Protein ID,GO Terms,Uniprot ID,Human Entrez ID,Human Gene Name
0,100774298,Slco1b3,solute carrier organic anion transporter family member 1B3,"This gene encodes a liver-specific member of the organic anion transporter family. The encoded protein is a transmembrane receptor that mediates the sodium-independent uptake of numerous endogenous compounds including bilirubin, 17-beta-glucuronosyl estradiol and leukotriene C4. This protein is also involved in the removal of drug compounds such as statins, bromosulfophthalein and rifampin from the blood into the hepatocytes. Polymorphisms in the gene encoding this protein are associated with impaired transporter function. [provided by RefSeq, Mar 2009]",ENSCGRG00015012813,ENSCGRG00001021568,XM_035456357,XP_035312248,"['GO:0055085', 'GO:0022857', 'GO:0005515', 'GO:0016020']", ,28234,SLCO1B3
1,100754260,Hsd3b7,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7","This gene encodes an enzyme which is involved in the initial stages of the synthesis of bile acids from cholesterol and a member of the short-chain dehydrogenase/reductase superfamily. The encoded protein is a membrane-associated endoplasmic reticulum protein which is active against 7-alpha hydrosylated sterol substrates. Mutations in this gene are associated with a congenital bile acid synthesis defect which leads to neonatal cholestasis, a form of progressive liver disease. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2008]",ENSCGRG00015024104,ENSCGRG00001010375,XM_003510980,XP_003511028,"['GO:0016020', 'GO:0016491', 'GO:0016616', 'GO:0003854', 'GO:0006694', 'GO:0047016', 'GO:0035754', 'GO:0005811', 'GO:0006694', 'GO:0003854', 'GO:0016616']",G3I7C5,80270,HSD3B7
2,100769024,LOC100769024,aromatase,"This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and catalyzes the last steps of estrogen biosynthesis. Mutations in this gene can result in either increased or decreased aromatase activity; the associated phenotypes suggest that estrogen functions both as a sex steroid hormone and in growth or differentiation. Alternative promoter use and alternative splicing results in multiple transcript variants that have different tissue specificities. [provided by RefSeq, Dec 2016]",ENSCGRG00015026385,ENSCGRG00001015094,XM_003508783,XP_003508831,"['GO:0016020', 'GO:0046872', 'GO:0016491', 'GO:0004497', 'GO:0005506', 'GO:0016705', 'GO:0020037', 'GO:0016712', 'GO:0070330', 'GO:0002677', 'GO:0006710', 'GO:0008209', 'GO:0008585', 'GO:0010760', 'GO:0030540', 'GO:0030879', 'GO:0060065', 'GO:0060736', 'GO:0061370', 'GO:2000866', 'GO:0005783']",A0A061IC63,1588,CYP19A1
3,100756356,Atp2a3,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3,"This gene encodes one of the SERCA Ca(2+)-ATPases, which are intracellular pumps located in the sarcoplasmic or endoplasmic reticula of muscle cells. This enzyme catalyzes the hydrolysis of ATP coupled with the translocation of calcium from the cytosol to the sarcoplasmic reticulum lumen, and is involved in calcium sequestration associated with muscular excitation and contraction. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jul 2008]",ENSCGRG00015000763,ENSCGRG00001017225,XM_035458322,XP_035314213,"['GO:0005783', 'GO:0016529', 'GO:0044325', 'GO:0006874', 'GO:1900121', 'GO:0031090', 'GO:0015085', 'GO:0005388', 'GO:0008656', 'GO:0030899', 'GO:0006919', 'GO:0070059', 'GO:0070588', 'GO:1903515', 'GO:0005388', 'GO:0000166', 'GO:0006816', 'GO:0016887', 'GO:0005524', 'GO:0016021', 'GO:0005215', 'GO:0005388', 'GO:0000166', 'GO:0006816', 'GO:0016887', 'GO:0005524', 'GO:0016021', 'GO:0005215']", ,489,ATP2A3
4,100774660,Pgls,6-phosphogluconolactonase,"Enables 6-phosphogluconolactonase activity. Involved in pentose-phosphate shunt. Located in extracellular exosome. [provided by Alliance of Genome Resources, Apr 2022]",ENSCGRG00015004513,ENSCGRG00001024276,XM_027428449,XP_027284250,"['GO:0016787', 'GO:0005975', 'GO:0017057', 'GO:0006098']", ,25796,PGLS
5,100761029,Pgm2,phosphoglucomutase 2,"Enables phosphopentomutase activity. Predicted to be involved in carbohydrate metabolic process and deoxyribose phosphate catabolic process. Predicted to act upstream of or within glucose metabolic process. Located in extracellular exosome. [provided by Alliance of Genome Resources, Apr 2022]",ENSCGRG00015000193,ENSCGRG00001019866,XM_003513481,XP_003513529,"['GO:0046872', 'GO:0005975', 'GO:0000287', 'GO:0016853', 'GO:0016868', 'GO:0071704', 'GO:0004614', 'GO:0008973', 'GO:0006006', 'GO:0005829', 'GO:0005980']",G3IFE7,55276,PGM2
6,100689430,B4galt1,"beta-1,4-galactosyltransferase 1","This gene is one of seven beta-1,4-galactosyltransferase (beta4GalT) genes. They encode type II membrane-bound glycoproteins that appear to have exclusive specificity for the donor substrate UDP-galactose; all transfer galactose in a beta1,4 linkage to similar acceptor sugars: GlcNAc, Glc, and Xyl. Each beta4GalT has a distinct function in the biosynthesis of different glycoconjugates and saccharide structures. As type II membrane proteins, they have an N-terminal hydrophobic signal sequence that directs the protein to the Golgi apparatus and which then remains uncleaved to function as a transmembrane anchor. By sequence similarity, the beta4GalTs form four groups: beta4GalT1 and beta4GalT2, beta4GalT3 and beta4GalT4, beta4GalT5 and beta4GalT6, and beta4GalT7. This gene is unique among the beta4GalT genes because it encodes an enzyme that participates both in glycoconjugate and lactose biosynthesis. For the first activity, the enzyme adds galactose to N-acetylglucosamine residues that are either monosaccharides or the nonreducing ends of glycoprotein carbohydrate chains. The second activity is restricted to lactating mammary tissues where the enzyme forms a heterodimer with alpha-lactalbumin to catalyze UDP-galactose + D-glucose <=> UDP + lactose. The two enzymatic forms result from alternate transcription initiation sites and post-translational processing. Two transcripts, which differ only at the 5' end, with approximate lengths of 4.1 kb and 3.9 kb encode the same protein. The longer transcript encodes the type II membrane-bound, trans-Golgi resident protein involved in glycoconjugate biosynthesis. The shorter transcript encodes a protein which is cleaved to form the soluble lactose synthase. [provided by RefSeq, Jul 2008]",ENSCGRG00015005476,ENSCGRG00001014638,NM_001246691,NP_001233620,"['GO:0016323', 'GO:0005794', 'GO:0030145', 'GO:0003945', 'GO:0000138', 'GO:0003831', 'GO:0004461', 'GO:0031526', 'GO:0005886', 'GO:0030198', 'GO:0043065', 'GO:0009897', 'GO:0032991', 'GO:0042060', 'GO:0009986', 'GO:0008283', 'GO:0007339', 'GO:1905517', 'GO:0009312', 'GO:0050680', 'GO:0007155', 'GO:0050673', 'GO:0060055', 'GO:0002064', 'GO:0006486', 'GO:0007341', 'GO:0060046', 'GO:0006487', 'GO:0002526', 'GO:0005989', 'GO:0006012', 'GO:0009101', 'GO:0045136', 'GO:0060054', 'GO:0008378', 'GO:0035250', 'GO:0030057', 'GO:0016757', 'GO:0005975', 'GO:0004461', 'GO:0016757', 'GO:0005975']",Q99PC2,2683,B4GALT1
7,100772123,Fig4,FIG4 phosphoinositide 5-phosphatase,"The protein encoded by this gene belongs to the SAC domain-containing protein gene family. The SAC domain, approximately 400 amino acids in length and consisting of seven conserved motifs, has been shown to possess phosphoinositide phosphatase activity. The yeast homolog, Sac1p, is involved in the regulation of various phosphoinositides, and affects diverse cellular functions such as actin cytoskeleton organization, Golgi function, and maintenance of vacuole morphology. Membrane-bound phosphoinositides function as signaling molecules and play a key role in vesicle trafficking in eukaryotic cells. Mutations in this gene have been associated with Charcot-Marie-Tooth disease, type 4J. [provided by RefSeq, Jul 2008]",ENSCGRG00015026280,ENSCGRG00001015893,XM_003496990,XP_003497038,"['GO:0016020', 'GO:0016791', 'GO:0036092', 'GO:0046856', 'GO:0007033', 'GO:0007626', 'GO:0031642', 'GO:0032288', 'GO:0043473', 'GO:0046488', 'GO:0048666', 'GO:0043813', 'GO:0005811', 'GO:0010008', 'GO:0043231', 'GO:0042552']",G3GXM2,9896,FIG4
8,100764709,L3hypdh,trans-L-3-hydroxyproline dehydratase,"The protein encoded by this gene is a dehydratase that converts trans-3-hydroxy-L-proline to delta(1)-pyrroline-2-carboxylate. This enzyme may function to degrade dietary proteins that contain trans-3-hydroxy-L-proline as well as other proteins such as collagen IV. The encoded protein can be converted to an epimerase by changing a threonine to a cysteine at a catalytic site. [provided by RefSeq, Sep 2016]",ENSCGRG00015026925,ENSCGRG00001016943,XM_003512801,XP_003512849,"['GO:0016836', 'GO:0050346']", ,112849,L3HYPDH
9,100754978,Adpgk,ADP dependent glucokinase,"ADPGK (EC 2.7.1.147) catalyzes the ADP-dependent phosphorylation of glucose to glucose-6-phosphate and may play a role in glycolysis, possibly during ischemic conditions (Ronimus and Morgan, 2004 [PubMed 14975750]).[supplied by OMIM, Mar 2008]",ENSCGRG00015023816,ENSCGRG00001009816,XM_003502397,XP_003502445,"['GO:0016301', 'GO:0016310', 'GO:0006096', 'GO:0005975', 'GO:0016773', 'GO:0043843', 'GO:0006006', 'GO:0005783']",G3HEJ5,83440,ADPGK
